Data,IBOV
2010 - 01,70045.00
2010 - 02,66571.00
2010 - 03,67227.00
2010 - 04,71136.00
2010 - 05,67119.00
2010 - 06,61840.00
2010 - 07,61236.00
2010 - 08,68517.00
2010 - 09,67072.00
2010 - 10,70229.00
2010 - 11,71560.00
2010 - 12,69345.00
2011 - 01,69962.00
2011 - 02,67847.00
2011 - 03,66242.00
2011 - 04,69268.00
2011 - 05,65462.00
2011 - 06,63411.00
2011 - 07,63394.00
2011 - 08,58535.00
2011 - 09,58118.00
2011 - 10,50791.00
2011 - 11,57322.00
2011 - 12,58143.00
2012 - 01,57829.00
2012 - 02,64567.00
2012 - 03,66809.00
2012 - 04,65216.00
2012 - 05,62423.00
2012 - 06,53402.00
2012 - 07,54692.00
2012 - 08,56291.00
2012 - 09,57281.00
2012 - 10,59570.00
2012 - 11,58382.00
2012 - 12,58202.00
2013 - 01,62550.00
2013 - 02,60351.00
2013 - 03,56883.00
2013 - 04,55902.00
2013 - 05,55321.00
2013 - 06,53944.00
2013 - 07,47229.00
2013 - 08,49140.00
2013 - 09,51835.00
2013 - 10,53179.00
2013 - 11,54013.00
2013 - 12,51244.00
2014 - 01,50341.00
2014 - 02,46147.00
2014 - 03,46589.00
2014 - 04,50270.00
2014 - 05,52980.00
2014 - 06,51605.00
2014 - 07,53171.00
2014 - 08,55902.00
2014 - 09,61141.00
2014 - 10,52858.00
2014 - 11,53947.00
2014 - 12,52276.00
2015 - 01,48512.00
2015 - 02,47650.00
2015 - 03,51020.00
2015 - 04,52321.00
2015 - 05,57353.00
2015 - 06,53031.00
2015 - 07,52757.00
2015 - 08,50138.00
2015 - 09,45477.00
2015 - 10,45313.00
2015 - 11,48053.00
2015 - 12,45046.00
2016 - 01,42141.00
2016 - 02,40570.00
2016 - 03,44121.00
2016 - 04,50561.00
2016 - 05,53561.00
2016 - 06,49012.00
2016 - 07,52233.00
2016 - 08,56755.00
2016 - 09,58236.00
2016 - 10,59461.00
2016 - 11,63326.00
2016 - 12,59506.00
2017 - 01,59588.00
2017 - 02,64836.00
2017 - 03,66988.00
2017 - 04,65211.00
2017 - 05,66721.00
2017 - 06,62288.00
2017 - 07,63279.00
2017 - 08,66516.00
2017 - 09,71923.11
2017 - 10,74359.83
2017 - 11,73823.74
2017 - 12,72264.45
2018 - 01,77891.04
2018 - 02,85495.24
2018 - 03,85377.79
2018 - 04,84666.44
2018 - 05,84547.09
2018 - 06,77239.75
2018 - 07,72839.74
2018 - 08,79301.65
2018 - 09,76192.74
2018 - 10,78623.66
2018 - 11,88419.05
2018 - 12,89820.09
2019 - 01,91012.32
2019 - 02,97861.28
2019 - 03,94603.76
2019 - 04,96054.46
2019 - 05,95527.62
2019 - 06,97020.48
2019 - 07,101339.68
2019 - 08,102125.94
2019 - 09,100625.74
2019 - 10,104053.40
2019 - 11,108195.63
2019 - 12,108927.83
2020 - 01,118573.10
2020 - 02,114629.21
2020 - 03,106625.41
2020 - 04,70966.70
2020 - 05,78876.22
2020 - 06,88620.10
2020 - 07,96203.20